Machine,Language,Algorithm,Options,Executable_used,Input_name,Input_size,Execution_time
urubu,CPP,stupid_quicksort,O0,cpp/stupid_quicksortO0,1000-2.in,1000,1.0
urubu,CPP,stupid_quicksort,O0,cpp/stupid_quicksortO0,100000-1.in,100000,29.0
urubu,CPP,STL,O1,cpp/stl_sortO1,10000000-4.in,10000000,966.0
urubu,D,sort,O1,d/sortgdcO1,10000000-5.in,10000000,1012.0
urubu,D,sort,O0,d/sortgdcO0,10-4.in,10,0.0
urubu,CPP,STL,O3,cpp/stl_sortO3,10000000-2.in,10000000,856.0
urubu,CPP,stupid_quicksort,O0,cpp/stupid_quicksortO0,100-1.in,100,0.0
urubu,CPP,STL,O3,cpp/stl_sortO3,10-3.in,10,0.0
urubu,D,sort,O3,d/sortgdcO3,1000-2.in,1000,0.0
urubu,OCaml,merge_sort,,ocaml/merge_sort.native,10-4.in,10,0.0
urubu,CPP,stupid_quicksort,O1,cpp/stupid_quicksortO1,100-5.in,100,0.0
urubu,CPP,STL,O2,cpp/stl_sortO2,10-5.in,10,0.0
urubu,D,sort,O3,d/sortgdcO3,1000000-1.in,1000000,79.0
urubu,D,sort,O0,d/sortgdcO0,10000000-2.in,10000000,2643.0
urubu,OCaml,merge_sort,,ocaml/merge_sort.native,100-5.in,100,0.0
urubu,CPP,STL,O0,cpp/stl_sortO0,10-1.in,10,0.0
urubu,D,sort,O3,d/sortgdcO3,10000000-2.in,10000000,915.0
urubu,CPP,STL,O3,cpp/stl_sortO3,10-5.in,10,0.0
urubu,CPP,stupid_quicksort,O3,cpp/stupid_quicksortO3,1000-4.in,1000,0.0
urubu,CPP,stupid_quicksort,O0,cpp/stupid_quicksortO0,10000-1.in,10000,4.0
urubu,OCaml,merge_sort,,ocaml/merge_sort.native,100-4.in,100,0.0
urubu,Python,sort,,python/sort.py,10000000-1.in,10000000,9187.0
urubu,OCaml,merge_sort,,ocaml/merge_sort.native,10000-2.in,10000,0.0
urubu,Python,sort,,python/sort.py,100000-1.in,100000,39.0
urubu,CPP,stupid_quicksort,O3,cpp/stupid_quicksortO3,10000-1.in,10000,1.0
urubu,CPP,STL,O0,cpp/stl_sortO0,10000000-2.in,10000000,4538.0
urubu,CPP,STL,O3,cpp/stl_sortO3,1000-3.in,1000,0.0
urubu,OCaml,merge_sort,,ocaml/merge_sort.native,1000000-4.in,1000000,408.0
urubu,Python,quicksort,,python/quicksort.py,10000-4.in,10000,60.0
urubu,CPP,STL,O3,cpp/stl_sortO3,10000000-3.in,10000000,850.0
urubu,D,sort,O3,d/sortgdcO3,10000-3.in,10000,1.0
urubu,Python,quicksort,,python/quicksort.py,10-3.in,10,0.0
urubu,OCaml,merge_sort,,ocaml/merge_sort.native,10000000-1.in,10000000,4747.0
urubu,D,sort,O3,d/sortgdcO3,1000000-2.in,1000000,80.0
urubu,D,sort,O3,d/sortgdcO3,1000-1.in,1000,0.0
urubu,OCaml,merge_sort,,ocaml/merge_sort.native,10000-1.in,10000,0.0
urubu,CPP,stupid_quicksort,O3,cpp/stupid_quicksortO3,10000000-1.in,10000000,952.0
urubu,CPP,STL,O2,cpp/stl_sortO2,1000000-3.in,1000000,74.0
urubu,D,sort,O1,d/sortgdcO1,100000-5.in,100000,7.0
urubu,CPP,stupid_quicksort,O1,cpp/stupid_quicksortO1,10-3.in,10,0.0
urubu,CPP,stupid_quicksort,O1,cpp/stupid_quicksortO1,1000-4.in,1000,0.0
urubu,Python,quicksort,,python/quicksort.py,1000-1.in,1000,2.0
urubu,CPP,stupid_quicksort,O2,cpp/stupid_quicksortO2,100-2.in,100,0.0
urubu,OCaml,merge_sort,,ocaml/merge_sort.native,10000-4.in,10000,4.0
urubu,Python,quicksort,,python/quicksort.py,10-1.in,10,0.0
urubu,OCaml,merge_sort,,ocaml/merge_sort.native,1000-5.in,1000,0.0
urubu,CPP,STL,O3,cpp/stl_sortO3,10000000-1.in,10000000,853.0
urubu,CPP,STL,O2,cpp/stl_sortO2,10-2.in,10,0.0
urubu,D,sort,O3,d/sortgdcO3,100000-3.in,100000,10.0
urubu,Python,quicksort,,python/quicksort.py,100-3.in,100,0.0
urubu,OCaml,merge_sort,,ocaml/merge_sort.native,1000-4.in,1000,0.0
urubu,OCaml,heap_sort,,ocaml/heap_sort.native,1000000-4.in,1000000,615.0
urubu,CPP,STL,O1,cpp/stl_sortO1,1000000-2.in,1000000,79.0
urubu,CPP,STL,O0,cpp/stl_sortO0,100000-4.in,100000,33.0
