Machine,Language,Algorithm,Options,Executable_used,Input_name,Input_size,Execution_time
XPSR,CPP,STL,O1,cpp/stl_sortO1,10000-1.in,10000,0.0
XPSR,Python,quicksort,,python/quicksort.py,100-4.in,100,0.0
XPSR,CPP,stupid_quicksort,O1,cpp/stupid_quicksortO1,100-4.in,100,0.0
XPSR,D,sort,O2,d/sortgdcO2,1000000-1.in,1000000,74.0
XPSR,CPP,stupid_quicksort,O1,cpp/stupid_quicksortO1,1000000-5.in,1000000,95.0
XPSR,D,sort,O0,d/sortgdcO0,10000-2.in,10000,2.0
XPSR,Python,quicksort,,python/quicksort.py,1000000-4.in,1000000,3777.0
XPSR,OCaml,heap_sort,,ocaml/heap_sort.native,10-3.in,10,0.0
XPSR,CPP,STL,O3,cpp/stl_sortO3,100-3.in,100,0.0
XPSR,CPP,STL,O0,cpp/stl_sortO0,100-5.in,100,0.0
XPSR,CPP,stupid_quicksort,O1,cpp/stupid_quicksortO1,10000-2.in,10000,2.0
XPSR,D,sort,O0,d/sortgdcO0,100-1.in,100,0.0
XPSR,CPP,STL,O2,cpp/stl_sortO2,1000-5.in,1000,0.0
XPSR,OCaml,merge_sort,,ocaml/merge_sort.native,1000-1.in,1000,0.0
XPSR,Python,quicksort,,python/quicksort.py,10-4.in,10,0.0
XPSR,CPP,STL,O3,cpp/stl_sortO3,100000-3.in,100000,6.0
XPSR,D,sort,O3,d/sortgdcO3,100-5.in,100,0.0
XPSR,D,sort,O1,d/sortgdcO1,100-3.in,100,0.0
XPSR,CPP,STL,O1,cpp/stl_sortO1,1000-2.in,1000,0.0
XPSR,D,sort,O2,d/sortgdcO2,10000-3.in,10000,0.0
XPSR,D,sort,O2,d/sortgdcO2,100-1.in,100,0.0
XPSR,CPP,stupid_quicksort,O1,cpp/stupid_quicksortO1,100000-1.in,100000,8.0
XPSR,CPP,stupid_quicksort,O3,cpp/stupid_quicksortO3,10-3.in,10,0.0
XPSR,CPP,STL,O0,cpp/stl_sortO0,100-2.in,100,0.0
XPSR,Python,sort,,python/sort.py,100000-5.in,100000,33.0
XPSR,CPP,stupid_quicksort,O0,cpp/stupid_quicksortO0,10000000-2.in,10000000,3991.0
XPSR,CPP,stupid_quicksort,O1,cpp/stupid_quicksortO1,10000-1.in,10000,1.0
XPSR,CPP,stupid_quicksort,O1,cpp/stupid_quicksortO1,1000-5.in,1000,0.0
XPSR,CPP,stupid_quicksort,O3,cpp/stupid_quicksortO3,1000000-3.in,1000000,80.0
XPSR,OCaml,merge_sort,,ocaml/merge_sort.native,10000000-5.in,10000000,3715.0
XPSR,Python,sort,,python/sort.py,10000-2.in,10000,2.0
XPSR,OCaml,heap_sort,,ocaml/heap_sort.native,1000000-4.in,1000000,463.0
XPSR,CPP,stupid_quicksort,O2,cpp/stupid_quicksortO2,1000000-2.in,1000000,75.0
XPSR,CPP,stupid_quicksort,O0,cpp/stupid_quicksortO0,100000-4.in,100000,28.0
XPSR,OCaml,merge_sort,,ocaml/merge_sort.native,1000000-3.in,1000000,319.0
XPSR,OCaml,heap_sort,,ocaml/heap_sort.native,10000-2.in,10000,0.0
XPSR,CPP,STL,O0,cpp/stl_sortO0,10-2.in,10,0.0
XPSR,CPP,stupid_quicksort,O0,cpp/stupid_quicksortO0,1000-1.in,1000,0.0
XPSR,CPP,STL,O1,cpp/stl_sortO1,1000-1.in,1000,0.0
XPSR,CPP,STL,O0,cpp/stl_sortO0,10000000-4.in,10000000,4162.0
XPSR,CPP,stupid_quicksort,O0,cpp/stupid_quicksortO0,1000-2.in,1000,0.0
XPSR,CPP,STL,O3,cpp/stl_sortO3,10000-2.in,10000,1.0
XPSR,CPP,stupid_quicksort,O3,cpp/stupid_quicksortO3,1000-4.in,1000,0.0
XPSR,OCaml,merge_sort,,ocaml/merge_sort.native,100000-4.in,100000,27.0
XPSR,OCaml,merge_sort,,ocaml/merge_sort.native,10-3.in,10,0.0
XPSR,CPP,STL,O2,cpp/stl_sortO2,10000000-5.in,10000000,823.0
XPSR,CPP,STL,O2,cpp/stl_sortO2,10000000-3.in,10000000,803.0
XPSR,Python,quicksort,,python/quicksort.py,10000000-3.in,10000000,48922.0
XPSR,Python,quicksort,,python/quicksort.py,1000000-3.in,1000000,3722.0
XPSR,CPP,stupid_quicksort,O0,cpp/stupid_quicksortO0,10000-1.in,10000,4.0
XPSR,D,sort,O2,d/sortgdcO2,100-3.in,100,0.0
XPSR,CPP,STL,O0,cpp/stl_sortO0,100000-1.in,100000,33.0
XPSR,CPP,stupid_quicksort,O2,cpp/stupid_quicksortO2,10-1.in,10,0.0
XPSR,CPP,STL,O3,cpp/stl_sortO3,100000-5.in,100000,6.0
XPSR,Python,sort,,python/sort.py,1000-2.in,1000,0.0
XPSR,CPP,STL,O3,cpp/stl_sortO3,100000-4.in,100000,6.0
XPSR,CPP,stupid_quicksort,O3,cpp/stupid_quicksortO3,1000-5.in,1000,0.0
XPSR,CPP,stupid_quicksort,O3,cpp/stupid_quicksortO3,1000000-2.in,1000000,78.0
XPSR,CPP,stupid_quicksort,O1,cpp/stupid_quicksortO1,1000-3.in,1000,0.0
XPSR,CPP,stupid_quicksort,O1,cpp/stupid_quicksortO1,100-5.in,100,0.0
XPSR,D,sort,O3,d/sortgdcO3,100-4.in,100,0.0
XPSR,D,sort,O3,d/sortgdcO3,10000000-2.in,10000000,872.0
XPSR,CPP,STL,O0,cpp/stl_sortO0,1000000-3.in,1000000,362.0
XPSR,CPP,stupid_quicksort,O0,cpp/stupid_quicksortO0,1000-3.in,1000,0.0
XPSR,CPP,stupid_quicksort,O1,cpp/stupid_quicksortO1,10-1.in,10,0.0
XPSR,OCaml,heap_sort,,ocaml/heap_sort.native,10000-5.in,10000,4.0
XPSR,Python,quicksort,,python/quicksort.py,10000000-2.in,10000000,49594.0
XPSR,CPP,STL,O1,cpp/stl_sortO1,10000000-5.in,10000000,850.0
XPSR,CPP,STL,O2,cpp/stl_sortO2,10000-3.in,10000,1.0
XPSR,OCaml,merge_sort,,ocaml/merge_sort.native,10000000-1.in,10000000,3732.0
XPSR,CPP,STL,O0,cpp/stl_sortO0,100000-5.in,100000,31.0
XPSR,D,sort,O3,d/sortgdcO3,1000-2.in,1000,0.0
XPSR,D,sort,O3,d/sortgdcO3,1000-3.in,1000,0.0
XPSR,CPP,stupid_quicksort,O1,cpp/stupid_quicksortO1,10000-4.in,10000,1.0
XPSR,Python,sort,,python/sort.py,1000000-4.in,1000000,540.0
XPSR,CPP,stupid_quicksort,O2,cpp/stupid_quicksortO2,10000000-1.in,10000000,874.0
XPSR,Python,sort,,python/sort.py,10000000-2.in,10000000,8295.0
XPSR,D,sort,O3,d/sortgdcO3,10000-4.in,10000,0.0
XPSR,CPP,STL,O2,cpp/stl_sortO2,100-5.in,100,0.0
XPSR,D,sort,O0,d/sortgdcO0,100-5.in,100,0.0
XPSR,D,sort,O3,d/sortgdcO3,10000-3.in,10000,0.0
XPSR,CPP,stupid_quicksort,O1,cpp/stupid_quicksortO1,10000000-4.in,10000000,1101.0
XPSR,CPP,STL,O1,cpp/stl_sortO1,100000-2.in,100000,7.0
XPSR,CPP,stupid_quicksort,O1,cpp/stupid_quicksortO1,10000000-3.in,10000000,1096.0
XPSR,CPP,STL,O2,cpp/stl_sortO2,100000-3.in,100000,6.0
XPSR,CPP,stupid_quicksort,O1,cpp/stupid_quicksortO1,10000000-5.in,10000000,1116.0
XPSR,D,sort,O1,d/sortgdcO1,100000-2.in,100000,7.0
XPSR,D,sort,O1,d/sortgdcO1,1000000-4.in,1000000,79.0
XPSR,OCaml,merge_sort,,ocaml/merge_sort.native,100-4.in,100,0.0
XPSR,CPP,STL,O0,cpp/stl_sortO0,1000000-4.in,1000000,363.0
XPSR,CPP,STL,O2,cpp/stl_sortO2,10-2.in,10,0.0
XPSR,D,sort,O2,d/sortgdcO2,1000-4.in,1000,0.0
XPSR,CPP,STL,O3,cpp/stl_sortO3,10000000-1.in,10000000,809.0
XPSR,CPP,stupid_quicksort,O3,cpp/stupid_quicksortO3,10-5.in,10,0.0
XPSR,D,sort,O1,d/sortgdcO1,100-5.in,100,0.0
XPSR,CPP,stupid_quicksort,O2,cpp/stupid_quicksortO2,10000-1.in,10000,1.0
XPSR,D,sort,O1,d/sortgdcO1,1000-5.in,1000,0.0
XPSR,CPP,STL,O3,cpp/stl_sortO3,1000-1.in,1000,0.0
XPSR,D,sort,O3,d/sortgdcO3,100000-4.in,100000,6.0
XPSR,D,sort,O3,d/sortgdcO3,1000-5.in,1000,0.0
XPSR,D,sort,O0,d/sortgdcO0,10000-4.in,10000,1.0
XPSR,CPP,stupid_quicksort,O3,cpp/stupid_quicksortO3,10000-2.in,10000,1.0
XPSR,D,sort,O3,d/sortgdcO3,10-2.in,10,0.0
XPSR,CPP,stupid_quicksort,O2,cpp/stupid_quicksortO2,10-3.in,10,0.0
XPSR,CPP,STL,O0,cpp/stl_sortO0,10000-3.in,10000,5.0
XPSR,CPP,STL,O3,cpp/stl_sortO3,10000000-5.in,10000000,809.0
XPSR,CPP,STL,O0,cpp/stl_sortO0,1000-3.in,1000,0.0
XPSR,CPP,STL,O1,cpp/stl_sortO1,100-1.in,100,0.0
XPSR,D,sort,O3,d/sortgdcO3,100000-2.in,100000,6.0
XPSR,CPP,STL,O2,cpp/stl_sortO2,100-3.in,100,0.0
XPSR,D,sort,O2,d/sortgdcO2,10-2.in,10,0.0
XPSR,D,sort,O2,d/sortgdcO2,100-4.in,100,0.0
XPSR,OCaml,heap_sort,,ocaml/heap_sort.native,10000000-1.in,10000000,6664.0
XPSR,CPP,stupid_quicksort,O1,cpp/stupid_quicksortO1,100000-2.in,100000,8.0
XPSR,CPP,STL,O0,cpp/stl_sortO0,1000-1.in,1000,0.0
XPSR,CPP,stupid_quicksort,O0,cpp/stupid_quicksortO0,10000000-1.in,10000000,3960.0
XPSR,CPP,stupid_quicksort,O0,cpp/stupid_quicksortO0,1000000-4.in,1000000,337.0
XPSR,OCaml,heap_sort,,ocaml/heap_sort.native,100000-2.in,100000,36.0
XPSR,D,sort,O3,d/sortgdcO3,1000000-3.in,1000000,75.0
XPSR,D,sort,O2,d/sortgdcO2,100-5.in,100,0.0
XPSR,CPP,STL,O3,cpp/stl_sortO3,1000000-1.in,1000000,71.0
XPSR,CPP,stupid_quicksort,O2,cpp/stupid_quicksortO2,1000-5.in,1000,0.0
XPSR,CPP,stupid_quicksort,O3,cpp/stupid_quicksortO3,1000000-4.in,1000000,77.0
XPSR,CPP,STL,O3,cpp/stl_sortO3,1000-2.in,1000,0.0
XPSR,CPP,STL,O2,cpp/stl_sortO2,10-1.in,10,0.0
XPSR,Python,sort,,python/sort.py,10000-3.in,10000,2.0
XPSR,D,sort,O2,d/sortgdcO2,1000-2.in,1000,0.0
XPSR,CPP,STL,O2,cpp/stl_sortO2,100-1.in,100,0.0
XPSR,D,sort,O2,d/sortgdcO2,100000-2.in,100000,6.0
XPSR,CPP,STL,O1,cpp/stl_sortO1,1000000-5.in,1000000,71.0
XPSR,CPP,STL,O2,cpp/stl_sortO2,100-4.in,100,0.0
XPSR,Python,sort,,python/sort.py,10000-4.in,10000,2.0
XPSR,D,sort,O3,d/sortgdcO3,10-1.in,10,0.0
