Machine,Language,Algorithm,Options,Executable_used,Input_name,Input_size,Execution_time
hubert-pc,CPP,STL,O3,cpp/stl_sortO3,100-5.in,100,0.0015452000000095722
hubert-pc,OCaml,heap_sort,,ocaml/heap_sort.native,1000-3.in,1000,0.0019914289999860557
hubert-pc,D,sort,O0,d/sortgdcO0,1000000-4.in,1000000,0.7794664870000361
hubert-pc,CPP,STL,O3,cpp/stl_sortO3,10000-5.in,10000,0.00698397799999384
hubert-pc,CPP,stupid_quicksort,O3,cpp/stupid_quicksortO3,10-4.in,10,0.0013680929999964064
hubert-pc,CPP,stupid_quicksort,O3,cpp/stupid_quicksortO3,1000000-2.in,1000000,0.5051135290000275
hubert-pc,OCaml,merge_sort,,ocaml/merge_sort.native,100-2.in,100,0.0016453850000743842
hubert-pc,CPP,stupid_quicksort,O2,cpp/stupid_quicksortO2,1000000-2.in,1000000,0.501227530000051
hubert-pc,D,sort,O3,d/sortgdcO3,10000-4.in,10000,0.006871030999946015
hubert-pc,D,sort,O2,d/sortgdcO2,100000-2.in,100000,0.05529417000002468
hubert-pc,CPP,STL,O0,cpp/stl_sortO0,10-3.in,10,0.0017787560000215308
hubert-pc,Python,sort,,python/sort.py,1000000-1.in,1000000,1.4823304999999891
hubert-pc,CPP,STL,O2,cpp/stl_sortO2,10000000-1.in,10000000,5.023711112000001
hubert-pc,CPP,stupid_quicksort,O0,cpp/stupid_quicksortO0,10-3.in,10,0.0016886920000160899
hubert-pc,CPP,STL,O2,cpp/stl_sortO2,100-4.in,100,0.0017844389999481791
hubert-pc,CPP,STL,O2,cpp/stl_sortO2,1000-4.in,1000,0.001658792000057474
hubert-pc,CPP,stupid_quicksort,O2,cpp/stupid_quicksortO2,1000-3.in,1000,0.001712120999968647
hubert-pc,CPP,STL,O1,cpp/stl_sortO1,10000000-4.in,10000000,5.065415279000035
hubert-pc,CPP,STL,O1,cpp/stl_sortO1,100-3.in,100,0.0019215239999539335
hubert-pc,Python,quicksort,,python/quicksort.py,10000-5.in,10000,0.06286442200007514
hubert-pc,D,sort,O0,d/sortgdcO0,1000-4.in,1000,0.002684538000039538
hubert-pc,Python,sort,,python/sort.py,10-2.in,10,0.020814304000055017
hubert-pc,CPP,stupid_quicksort,O2,cpp/stupid_quicksortO2,100000-4.in,100000,0.055552029000068615
hubert-pc,CPP,STL,O1,cpp/stl_sortO1,100000-2.in,100000,0.0534363620000704
hubert-pc,OCaml,merge_sort,,ocaml/merge_sort.native,100000-3.in,100000,0.07997995799996716
hubert-pc,D,sort,O3,d/sortgdcO3,100-2.in,100,0.001534822000053282
hubert-pc,OCaml,heap_sort,,ocaml/heap_sort.native,10-1.in,10,0.0014352580000149828
hubert-pc,D,sort,O3,d/sortgdcO3,1000-1.in,1000,0.0021280939999996917
hubert-pc,D,sort,O0,d/sortgdcO0,100-1.in,100,0.001514456999984759
hubert-pc,CPP,stupid_quicksort,O3,cpp/stupid_quicksortO3,1000-3.in,1000,0.0021072190000950286
hubert-pc,Python,sort,,python/sort.py,10000000-2.in,10000000,18.261852290000093
hubert-pc,Python,quicksort,,python/quicksort.py,1000-5.in,1000,0.02354042499996467
hubert-pc,D,sort,O0,d/sortgdcO0,1000000-5.in,1000000,0.783379286000013
hubert-pc,CPP,STL,O1,cpp/stl_sortO1,100-1.in,100,0.0018465379999952347
hubert-pc,OCaml,merge_sort,,ocaml/merge_sort.native,100-1.in,100,0.0010563320000755994
hubert-pc,CPP,STL,O2,cpp/stl_sortO2,10000000-2.in,10000000,5.0117366309999625
hubert-pc,CPP,stupid_quicksort,O0,cpp/stupid_quicksortO0,10-5.in,10,0.001649068000006082
hubert-pc,D,sort,O3,d/sortgdcO3,10000-1.in,10000,0.0063252520000105505
hubert-pc,CPP,stupid_quicksort,O2,cpp/stupid_quicksortO2,100000-5.in,100000,0.05372922399999425
hubert-pc,CPP,stupid_quicksort,O1,cpp/stupid_quicksortO1,1000-4.in,1000,0.0017982729999630465
hubert-pc,CPP,STL,O0,cpp/stl_sortO0,10000000-1.in,10000000,8.969824457000072
