Machine,Language,Algorithm,Options,Executable_used,Input_name,Input_size,Execution_time
urubu,Python,quicksort,,python/quicksort.py,100000-3.in,100000,0.553325185999995
urubu,CPP,stupid_quicksort,O0,cpp/stupid_quicksortO0,10-2.in,10,0.0021892780000030143
urubu,Python,sort,,python/sort.py,1000000-4.in,1000000,1.4573939770000095
urubu,D,sort,O0,d/sortgdcO0,10000-1.in,10000,0.011105130999993662
urubu,CPP,STL,O0,cpp/stl_sortO0,1000-1.in,1000,0.002739432999987912
urubu,CPP,stupid_quicksort,O3,cpp/stupid_quicksortO3,10000-3.in,10000,0.007163380999998026
urubu,CPP,STL,O3,cpp/stl_sortO3,10-2.in,10,0.0018654739999988124
urubu,CPP,STL,O3,cpp/stl_sortO3,100000-3.in,100000,0.06070456099999433
urubu,D,sort,O0,d/sortgdcO0,1000000-1.in,1000000,0.825727244999996
urubu,CPP,stupid_quicksort,O3,cpp/stupid_quicksortO3,1000-2.in,1000,0.0023895299999878716
urubu,CPP,stupid_quicksort,O3,cpp/stupid_quicksortO3,100-5.in,100,0.0018689780000045175
urubu,Python,sort,,python/sort.py,10000000-5.in,10000000,17.012579485000003
urubu,D,sort,O0,d/sortgdcO0,1000-1.in,1000,0.005336889999995265
urubu,D,sort,O2,d/sortgdcO2,10000-2.in,10000,0.016873816000014585
urubu,D,sort,O1,d/sortgdcO1,1000-2.in,1000,0.0022821620000001985
urubu,Python,quicksort,,python/quicksort.py,1000000-1.in,1000000,6.504828747999994
urubu,Python,quicksort,,python/quicksort.py,1000-2.in,1000,0.048436360000010836
urubu,CPP,stupid_quicksort,O3,cpp/stupid_quicksortO3,10000-2.in,10000,0.014138085000013234
urubu,OCaml,merge_sort,,ocaml/merge_sort.native,100-5.in,100,0.001948688999988235
urubu,OCaml,merge_sort,,ocaml/merge_sort.native,10000-5.in,10000,0.013011339999991378
urubu,CPP,STL,O3,cpp/stl_sortO3,1000-2.in,1000,0.0031756779999909668
urubu,OCaml,merge_sort,,ocaml/merge_sort.native,10000-1.in,10000,0.012219310999995514
urubu,CPP,STL,O0,cpp/stl_sortO0,1000-4.in,1000,0.0033425680000220837
urubu,D,sort,O0,d/sortgdcO0,1000-3.in,1000,0.003352110000008679
urubu,OCaml,heap_sort,,ocaml/heap_sort.native,100-3.in,100,0.002194200999980467
