Machine,Language,Algorithm,Options,Executable_used,Input_name,Input_size,Execution_time
XPSR,CPP,stupid_quicksort,O3,cpp/stupid_quicksortO3,1000000-1.in,1000000,0.6429441379999616
XPSR,CPP,stupid_quicksort,O3,cpp/stupid_quicksortO3,100000-4.in,100000,0.06922088599992549
XPSR,OCaml,merge_sort,,ocaml/merge_sort.native,100000-2.in,100000,0.08415891399999964
XPSR,OCaml,heap_sort,,ocaml/heap_sort.native,10000000-1.in,10000000,13.286979813000016
XPSR,CPP,STL,O1,cpp/stl_sortO1,1000-4.in,1000,0.0045350719999532885
XPSR,Python,quicksort,,python/quicksort.py,100-5.in,100,0.03480371399996329
XPSR,CPP,STL,O1,cpp/stl_sortO1,100-2.in,100,0.0022265310000193494
XPSR,CPP,STL,O3,cpp/stl_sortO3,10000000-1.in,10000000,6.429558654000061
XPSR,D,sort,O0,d/sortgdcO0,10-4.in,10,0.0017196100000091974
XPSR,D,sort,O2,d/sortgdcO2,10000000-2.in,10000000,6.449629841999922
XPSR,OCaml,heap_sort,,ocaml/heap_sort.native,1000-5.in,1000,0.002030945999990763
XPSR,CPP,stupid_quicksort,O3,cpp/stupid_quicksortO3,100000-5.in,100000,0.0696234850000792
XPSR,CPP,STL,O3,cpp/stl_sortO3,10-2.in,10,0.001907231000018328
XPSR,OCaml,merge_sort,,ocaml/merge_sort.native,100-4.in,100,0.001131061000023692
XPSR,D,sort,O2,d/sortgdcO2,1000-4.in,1000,0.0020916570000508727
XPSR,CPP,stupid_quicksort,O3,cpp/stupid_quicksortO3,10-2.in,10,0.002477892999991127
XPSR,CPP,STL,O1,cpp/stl_sortO1,1000-3.in,1000,0.0032446479999634903
XPSR,D,sort,O1,d/sortgdcO1,10000000-4.in,10000000,7.294406621000007
XPSR,CPP,STL,O1,cpp/stl_sortO1,100-5.in,100,0.0020704460000615654
XPSR,D,sort,O3,d/sortgdcO3,10000000-1.in,10000000,6.51707046599995
XPSR,D,sort,O3,d/sortgdcO3,100-1.in,100,0.0016881200000398167
XPSR,CPP,STL,O2,cpp/stl_sortO2,10000-2.in,10000,0.008067887000038354
XPSR,CPP,STL,O2,cpp/stl_sortO2,1000-3.in,1000,0.004428519000043707
XPSR,D,sort,O0,d/sortgdcO0,10000000-4.in,10000000,10.654105560999938
XPSR,Python,quicksort,,python/quicksort.py,1000-3.in,1000,0.036703688000102375
XPSR,CPP,stupid_quicksort,O2,cpp/stupid_quicksortO2,1000-3.in,1000,0.0032577289999835557
XPSR,CPP,STL,O3,cpp/stl_sortO3,100-4.in,100,0.001869677999934538
XPSR,CPP,STL,O3,cpp/stl_sortO3,1000-3.in,1000,0.0021494029999757913
XPSR,OCaml,merge_sort,,ocaml/merge_sort.native,10000000-2.in,10000000,9.722245120000025
XPSR,CPP,stupid_quicksort,O2,cpp/stupid_quicksortO2,100000-2.in,100000,0.0678917159999628
XPSR,CPP,stupid_quicksort,O2,cpp/stupid_quicksortO2,1000-4.in,1000,0.002739790999953584
XPSR,Python,quicksort,,python/quicksort.py,100-4.in,100,0.034575385000039205
XPSR,CPP,STL,O1,cpp/stl_sortO1,100-3.in,100,0.002084914000079152
XPSR,CPP,stupid_quicksort,O3,cpp/stupid_quicksortO3,1000-5.in,1000,0.0031187860000727596
XPSR,D,sort,O1,d/sortgdcO1,10-4.in,10,0.002298710999980358
XPSR,OCaml,heap_sort,,ocaml/heap_sort.native,10-3.in,10,0.0017448139999487466
XPSR,CPP,STL,O1,cpp/stl_sortO1,1000000-2.in,1000000,0.6359313220000331
XPSR,CPP,stupid_quicksort,O3,cpp/stupid_quicksortO3,10-1.in,10,0.0019829650000247057
XPSR,CPP,stupid_quicksort,O3,cpp/stupid_quicksortO3,10000-3.in,10000,0.009142731999986609
XPSR,Python,quicksort,,python/quicksort.py,1000-2.in,1000,0.038458549000097264
XPSR,OCaml,merge_sort,,ocaml/merge_sort.native,10-3.in,10,0.0013409069999852363
XPSR,CPP,STL,O1,cpp/stl_sortO1,100000-5.in,100000,0.07110606899993854
XPSR,D,sort,O2,d/sortgdcO2,100-3.in,100,0.0018121489999884943
XPSR,CPP,stupid_quicksort,O1,cpp/stupid_quicksortO1,100-3.in,100,0.0019007739999779005
XPSR,D,sort,O3,d/sortgdcO3,1000000-1.in,1000000,0.6362564270000348
XPSR,CPP,stupid_quicksort,O1,cpp/stupid_quicksortO1,1000-4.in,1000,0.0028113500000017666
XPSR,CPP,stupid_quicksort,O2,cpp/stupid_quicksortO2,10-1.in,10,0.002076399999964451
XPSR,CPP,STL,O1,cpp/stl_sortO1,100000-4.in,100000,0.06879775400000199
XPSR,D,sort,O2,d/sortgdcO2,10-3.in,10,0.0016936670000404774
XPSR,CPP,STL,O1,cpp/stl_sortO1,100000-1.in,100000,0.06676256000002923
XPSR,CPP,stupid_quicksort,O1,cpp/stupid_quicksortO1,10000-5.in,10000,0.008511611000017183
XPSR,OCaml,merge_sort,,ocaml/merge_sort.native,100000-1.in,100000,0.08075537700005953
XPSR,CPP,stupid_quicksort,O2,cpp/stupid_quicksortO2,1000000-4.in,1000000,0.6369762560000254
XPSR,Python,sort,,python/sort.py,1000-2.in,1000,0.03239522800004124
XPSR,CPP,stupid_quicksort,O3,cpp/stupid_quicksortO3,1000000-2.in,1000000,0.6415929240000651
XPSR,Python,quicksort,,python/quicksort.py,1000000-2.in,1000000,6.445187882999903
XPSR,CPP,stupid_quicksort,O1,cpp/stupid_quicksortO1,10-3.in,10,0.0019448250000095868
XPSR,Python,sort,,python/sort.py,100-4.in,100,0.030264342000009492
XPSR,Python,sort,,python/sort.py,100-3.in,100,0.02960478099998909
XPSR,D,sort,O1,d/sortgdcO1,10000000-1.in,10000000,7.021242683999958
XPSR,CPP,STL,O1,cpp/stl_sortO1,10000000-5.in,10000000,6.472414686999969
XPSR,CPP,stupid_quicksort,O1,cpp/stupid_quicksortO1,10-1.in,10,0.0019685029999436665
XPSR,D,sort,O0,d/sortgdcO0,100-3.in,100,0.0018699650000826296
XPSR,CPP,stupid_quicksort,O3,cpp/stupid_quicksortO3,10000000-5.in,10000000,6.661376962999952
XPSR,Python,quicksort,,python/quicksort.py,1000000-3.in,1000000,6.199616693000053
XPSR,D,sort,O3,d/sortgdcO3,1000000-4.in,1000000,0.6353883699999869
XPSR,D,sort,O0,d/sortgdcO0,1000-1.in,1000,0.0028196870000556373
XPSR,OCaml,merge_sort,,ocaml/merge_sort.native,10000-4.in,10000,0.009636726999929124
XPSR,CPP,stupid_quicksort,O1,cpp/stupid_quicksortO1,10000-1.in,10000,0.009954339000046275
XPSR,CPP,stupid_quicksort,O1,cpp/stupid_quicksortO1,10000000-3.in,10000000,6.9567222549999315
XPSR,D,sort,O3,d/sortgdcO3,1000-2.in,1000,0.0025337239999316807
XPSR,OCaml,merge_sort,,ocaml/merge_sort.native,100-1.in,100,0.0019804830000111906
XPSR,OCaml,heap_sort,,ocaml/heap_sort.native,1000-3.in,1000,0.0024936629999956494
XPSR,CPP,STL,O3,cpp/stl_sortO3,100-2.in,100,0.004079223999951864
XPSR,D,sort,O1,d/sortgdcO1,1000000-5.in,1000000,0.6971033660000785
XPSR,Python,sort,,python/sort.py,1000-4.in,1000,0.0393827620000593
XPSR,CPP,stupid_quicksort,O0,cpp/stupid_quicksortO0,10000-5.in,10000,0.014771023999969657
XPSR,CPP,stupid_quicksort,O3,cpp/stupid_quicksortO3,10-5.in,10,0.004687525999997888
XPSR,Python,quicksort,,python/quicksort.py,1000000-4.in,1000000,7.728460347999999
XPSR,OCaml,merge_sort,,ocaml/merge_sort.native,1000-3.in,1000,0.0019552400000293346
XPSR,OCaml,merge_sort,,ocaml/merge_sort.native,1000000-1.in,1000000,0.8446194809999952
XPSR,Python,quicksort,,python/quicksort.py,100000-5.in,100000,0.5192678170000136
XPSR,CPP,stupid_quicksort,O2,cpp/stupid_quicksortO2,10000-1.in,10000,0.00969125900007839
XPSR,CPP,STL,O3,cpp/stl_sortO3,100000-1.in,100000,0.06912547000001723
XPSR,CPP,STL,O1,cpp/stl_sortO1,100000-3.in,100000,0.06336122200002592
